id,type,size,layers,bp,bt,rbp,fh,drw
1,flat,16,cs:3_cs:0.5_pvc:0.8,6,40,6.02,0,n
2,flat,24,cs:3_cs:0.5_pvc:0.8,6,40,6.02,0,n
3,flat,24,cs:3_cs:0.5_pvc:0.8,6,40,6.02,0,n
4,flat,24,s316L:2_s316L:0.5_tef:0.5,6,40,6.1,0,n
5,flat,24,s316L:2_s316L:0.5_tef:0.5,6,40,5.98,0,n
6,flat,24,s316L:2_s316L:0.5_tef:0.5,6,40,6,0,n
7,flat,3,s316L:0.2_s316L:0.2_tef:0.1,2,22,1.73,0,n
8,flat,3,s316L:0.2_s316L:0.3_tef:0.1,2,22,1.83,0,n
9,flat,3,s316L:0.2_s316L:0.4_tef:0.1,2,22,1.95,0,n
10,flat,30,s316L:0.6_s316L:0.3_ptfe:0.6,0.3,120,0.321,0,n
11,flat,30,s316L:0.6_s316L:0.3_ptfe:0.6,0.3,120,0.265,0,n
12,flat,6,s316L:0.6_s316L:0.5_tef:0.6,5.5,20,4,0,n
13,flat,6,s316L:0.6_s316L:0.25_tef:0.6,5.5,20,3.79,0,n
14,flat,6,s316L:0.6_s316L:0.3_tef:0.6,5.5,20,5.85,0,n
15,flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20,5.81,0,n
16,flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20,5.6,0,n
17,flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20,5.92,0,n
18,flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20,5.94,0,n
19,flat,4,s316L:0.1_s316L:0.2_s316L:0.1_ptfe:0.3,0.9,60,0.57,0,n
20,flat,4,s316L:0.1_s316L:0.25_s316L:0.1_ptfe:0.3,0.9,60,1.03,0,n
21,flat,4,s316L:1_s316L:0.1_s316L:0.1_ptfe:0.3,0.9,60,0.76,0,n
22,flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40,5.54,0,n
23,flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40,5.3,0,n
24,flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40,6.24,0,n
25,flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40,6.26,0,n
26,flat,12,s316L:0.3_s316L:0.3_fep:0.2,0.175,57,0.163,0,n
27,flat,12,s316L:0.3_s316L:0.3_fep:0.1,0.175,57,0.216,0,n
28,flat,12,s316L:0.3_s316L:0.3_fep:0.1,0.175,57,0.14,0,n
29,flat,12,s316L:0.3_s316L:0.3_fep:0.1,0.175,57,0.184,0,n
30,flat,16,s316L:0.4_s316L:0.4_ptfe:0.3,0.49,106,0.56,0,n
31,flat,16,s316L:0.4_s316L:0.4_ptfe:0.3,0.49,106,0.531,0,n
32,flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,0.49,0,n
33,flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,1.26,0,n
34,flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,1.043,0,n
35,flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,0.81,0,n
36,flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,0.925,0,n
37,flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,0.984,0,n
38,flat,8,cs:1_cs:0.8_pvc:0.5,6,40,4.59,0,n
39,flat,8,cs:1_cs:0.8_pvc:0.5,6,40,6.58,0,n
40,flat,8,cs:1_cs:0.8_pvc:0.5,6,40,6.41,0,n
41,flat,8,cs:1_cs:0.8_pvc:0.5,6,40,5.73,0,n
42,flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40,4,0,n
43,flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40,6.19,0,n
44,flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40,5.93,0,n
45,flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40,5.63,0,n
46,flat,24,cs:3_cs:0.8_pvc:0.5,6,40,4.85,0,n
47,flat,24,cs:3_cs:0.8_pvc:0.5,6,40,6.13,0,n
48,flat,24,cs:3_cs:0.8_pvc:0.5,6,40,6.3,0,n
49,flat,24,cs:3_cs:0.8_pvc:0.5,6,40,6.09,0,n
50,flat,6,s316:0.5_s316:0.5_tef:0.3,2.5,22,2.45,0,n
51,flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,1.193,0,n
52,flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,0.68,0,n
53,flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,0.459,0,n
54,flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,0.62,0,n
55,flat,4,s316:0.3_s316:0.5_ptfe:0.3,0.48,188,0.7,0,n
56,flat,4,s316:0.3_s316:0.5_ptfe:0.2,0.48,188,0.6,0,n
57,flat,4,s316:1_s316:0.5_ptfe:0.5,0.48,188,10.76,0,n
58,flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,1.43,0,n
59,flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,0.92,0,n
60,flat,4,s316:0.2_s316:0.5_ptfe:0.2,0.48,188,1.45,0,n
61,flat,4,s316:0.1_s316:0.5_ptfe:0.1,0.48,188,0.8,0,n
62,flat,4,s316:0.1_s316:0.1_ptfe:0.2,0.48,188,0.7,0,n
63,flat,24,s316:2_s316:0.5_fep:0.5,5,40,7.44,0,n
64,flat,14,s316:0.8_s316:0.4_ptfe:0.3,1.1,70,2.27,0,n
65,flat,14,s316:0.8_s316:0.4_ptfe:0.3,1.1,70,0.89,0,n
66,flat,14,s316:0.8_s316:0.4_ptfe:0.3,1.1,70,1.25,0,n
67,flat,14,s316:0.8_s316:0.4_ptfe:0.3,1.1,70,1.14,0,n
68,flat,24,s316:1.5_s316:0.2_ptfe:0.5,3.25,35,3.45,0,n
69,flat,24,s316:1.5_s316:0.2_ptfe:0.5,3.25,35,3.45,0,n
70,flat,24,s316:1.5_s316:0.5_ptfe:0.5,3.25,35,3.45,0,n
71,flat,24,s316:1.5_s316:0.5_ptfe:0.5,3.25,35,3.15,0,n
72,flat,24,s316:2.5_s316:0.6_ptfe:0.5,6,40,4.45,0,n
73,flat,4,s316L:0.3_s316L:0.3_ptfe:0.25,2,55,6.15,0,n
74,flat,4,s316L:0.3_s316L:0.3_ptfe:0.25,2,55,1.89,0,n
75,flat,24,s316L:2_s316L:0.6_ptfe:0.5,4,50,4.15,0,n
76,flat,24,s316L:2_s316L:0.6_ptfe:0.5,5,50,6.3,0,n
77,flat,24,s316L:2_s316L:0.6_ptfe:0.5,5,50,5.23,0,n
78,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.137,0,n
79,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.3,0,n
80,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.575,0,n
81,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.5,0,n
82,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.34,0,n
83,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.38,0,n
84,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.52,0,n
85,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.55,0,n
86,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.55,0,n
87,flat,16,s316:1_s316:1_ptfe:0.5,2,160,1.83,0,n
88,flat,16,s316:1_s316:1_ptfe:0.5,2,160,1.91,0,n
89,flat,10,s316:0.6_s316:0.6_ptfe:0.5,2,160,2.08,0,n
90,flat,16,s316:1.5_s316:0.5_ptfe:0.5,6,40,5.97,0,n
91,flat,16,s316:1.5_s316:0.5_ptfe:0.5,6,40,5.16,0,n
92,flat,16,s316:1.5_s316:0.5_ptfe:0.5,6,40,8.93,0,n
93,flat,24,s316:3_s316:1_ptfe:0.5,6,40,6.05,0,n
94,flat,24,s316:3_s316:1_ptfe:0.5,6,40,6.04,0,n
95,flat,24,s316:3_s316:1_ptfe:0.5,6,40,5.24,0,n
96,flat,8,s316:0.5_s316:0.5_ptfe:0.3,2,22,2.15,0,n
97,flat,8,s316:0.5_s316:0.5_ptfe:0.3,2,22,2.45,0,n
98,flat,8,s316:0.5_s316:0.5_ptfe:0.3,2,22,2.19,0,n
99,flat,3,s316:0.6_inconel:0.42_ptfe:0.25,7.5,48,7.21,0,n
100,flat,3,s316:0.6_inconel:0.42_ptfe:0.25,7.5,48,6.5,0,n
101,flat,3,s316:0.6_inconel:0.42_ptfe:0.25,7.5,48,12,0,n
102,flat,6,s316:1_inconel:0.8_ptfe:0.3,7.5,70,6.52,0,n
103,flat,6,s316:1_inconel:0.8_ptfe:0.3,7.5,70,5.61,0,n
104,flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,8.1,0,n
105,flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,4.66,0,n
106,flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,5.47,0,n
107,flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,5.08,0,n
108,flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,4.97,0,n
109,flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,1,75,0.8,0,n
110,flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,0.715,35,6.3,0,n
111,flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,0.715,35,6.65,0,n
112,flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,0.715,35,7.01,0,n
113,flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,0.715,35,8.2,0,n
114,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,4.1,0,n
115,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,2.72,0,n
116,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,3.33,0,n
117,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,4.4,0,n
118,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,2.57,0,n
119,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,3.21,0,n
120,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,3.18,0,n
121,flat,24,s316:0.5_s316:1.5_tef:0.5,3.3,35,3.16,0,n
122,flat,24,s316:0.5_s316:1.5_tef:0.5,3.3,35,2.98,0,n
123,flat,24,s316:0.5_s316:1.5_tef:0.5,3.3,35,3.37,0,n
124,flat,8,s316:0.5_s316:0.5_tef:0.5,3.21,35,2.59,0,n
125,flat,8,s316:0.5_s316:0.5_tef:0.5,3.2,35,3.7,0,n
126,flat,8,s316:0.5_s316:0.5_tef:0.5,3.3,35,3.9,0,n
127,flat,8,s316:0.5_s316:0.5_tef:0.5,3.2,35,2.81,0,n
128,flat,8,s316:0.5_s316:0.5_tef:0.5,3.2,35,3.4,0,n
129,flat,16,s316:0.5_s316:1_tef:0.5,3.5,35,3.28,0,n
130,flat,16,s316:0.5_s316:1_tef:0.5,3,35,3.3,0,n
131,flat,16,s316:0.5_s316:1_tef:0.5,3.5,35,3.52,0,n
132,flat,16,s316:0.5_s316:1_tef:0.5,3,35,3.31,0,n
133,flat,24,s316:0.5_s316:1.5_tef:0.5,3.5,35,3.1,0,n
134,flat,24,s316:0.5_s316:1.5_tef:0.5,3,35,3.25,0,n
135,flat,24,s316:0.5_s316:1.5_tef:0.5,3.5,35,2.1,0,n
136,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.7,0,n
137,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.8,0,n
138,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.1,0,n
139,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.05,0,n
140,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,2.85,0,n
141,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,4.2,0,n
142,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.65,0,n
143,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.25,0,n
144,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,9.9,0,n
145,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,12.9,0,n
146,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,12.6,0,n
147,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,16,0,n
148,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,15.55,0,n
149,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,11.43,0,n
150,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,,0,n
151,flat,24,s316:2_s316:0.5_tef:0.5,3,22,3.4,0,n
152,flat,24,s316:2_s316:0.5_tef:0.5,3,22,3.3,0,n
153,flat,24,s316:2_s316:0.5_tef:0.5,3,22,1.3,0,n
154,flat,24,s316:2_s316:0.5_tef:1.5,4,22,4.3,0,n
155,flat,24,s316:2_s316:0.5_tef:1.5,4,22,4.4,0,n
156,flat,24,s316:2_s316:0.5_tef:1.5,4,22,3.97,0,n
157,flat,24,s316:2_s316:0.5_tef:1.5,4,22,1.4,0,n
158,flat,24,s316:2_s316:0.5_tef:1.5,4,22,2.14,0,n
