type,size,layers,bp,bt,rbp,fh,drw
flat,16,cs:3_cs:0.5_pvc:0.8,6,40,6.02,0,n
flat,24,cs:3_cs:0.5_pvc:0.8,6,40,6.02,0,n
flat,24,cs:3_cs:0.5_pvc:0.8,6,40,6.02,0,n
flat,24,s316L:2_s316L:0.5_tef:0.5,6,40,6.1,0,n
flat,24,s316L:2_s316L:0.5_tef:0.5,6,40,5.98,0,n
flat,24,s316L:2_s316L:0.5_tef:0.5,6,40,6,0,n
flat,3,s316L:0.2_s316L:0.2_tef:0.1,2,22,1.73,0,n
flat,3,s316L:0.2_s316L:0.3_tef:0.1,2,22,1.83,0,n
flat,3,s316L:0.2_s316L:0.4_tef:0.1,2,22,1.95,0,n
flat,30,s316L:0.6_s316L:0.3_ptfe:0.6,0.3,120,0.321,0,n
flat,30,s316L:0.6_s316L:0.3_ptfe:0.6,0.3,120,0.265,0,n
flat,6,s316L:0.6_s316L:0.5_tef:0.6,5.5,20,4,0,n
flat,6,s316L:0.6_s316L:0.25_tef:0.6,5.5,20,3.79,0,n
flat,6,s316L:0.6_s316L:0.3_tef:0.6,5.5,20,5.85,0,n
flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20,5.81,0,n
flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20,5.6,0,n
flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20,5.92,0,n
flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20,5.94,0,n
flat,4,s316L:0.1_s316L:0.2_s316L:0.1_ptfe:0.3,0.9,60,0.57,0,n
flat,4,s316L:0.1_s316L:0.25_s316L:0.1_ptfe:0.3,0.9,60,1.03,0,n
flat,4,s316L:1_s316L:0.1_s316L:0.1_ptfe:0.3,0.9,60,0.76,0,n
flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40,5.54,0,n
flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40,5.3,0,n
flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40,6.24,0,n
flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40,6.26,0,n
flat,12,s316L:0.3_s316L:0.3_fep:0.2,0.175,57,0.163,0,n
flat,12,s316L:0.3_s316L:0.3_fep:0.1,0.175,57,0.216,0,n
flat,12,s316L:0.3_s316L:0.3_fep:0.1,0.175,57,0.14,0,n
flat,12,s316L:0.3_s316L:0.3_fep:0.1,0.175,57,0.184,0,n
flat,16,s316L:0.4_s316L:0.4_ptfe:0.3,0.49,106,0.56,0,n
flat,16,s316L:0.4_s316L:0.4_ptfe:0.3,0.49,106,0.531,0,n
flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,0.49,0,n
flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,1.26,0,n
flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,1.043,0,n
flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,0.81,0,n
flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,0.925,0,n
flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,0.984,0,n
flat,8,cs:1_cs:0.8_pvc:0.5,6,40,4.59,0,n
flat,8,cs:1_cs:0.8_pvc:0.5,6,40,6.58,0,n
flat,8,cs:1_cs:0.8_pvc:0.5,6,40,6.41,0,n
flat,8,cs:1_cs:0.8_pvc:0.5,6,40,5.73,0,n
flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40,4,0,n
flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40,6.19,0,n
flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40,5.93,0,n
flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40,5.63,0,n
flat,24,cs:3_cs:0.8_pvc:0.5,6,40,4.85,0,n
flat,24,cs:3_cs:0.8_pvc:0.5,6,40,6.13,0,n
flat,24,cs:3_cs:0.8_pvc:0.5,6,40,6.3,0,n
flat,24,cs:3_cs:0.8_pvc:0.5,6,40,6.09,0,n
flat,6,s316:0.5_s316:0.5_tef:0.3,2.5,22,2.45,0,n
flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,1.193,0,n
flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,0.68,0,n
flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,0.459,0,n
flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,0.62,0,n
flat,4,s316:0.3_s316:0.5_ptfe:0.3,0.48,188,0.7,0,n
flat,4,s316:0.3_s316:0.5_ptfe:0.2,0.48,188,0.6,0,n
flat,4,s316:1_s316:0.5_ptfe:0.5,0.48,188,10.76,0,n
flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,1.43,0,n
flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,0.92,0,n
flat,4,s316:0.2_s316:0.5_ptfe:0.2,0.48,188,1.45,0,n
flat,4,s316:0.1_s316:0.5_ptfe:0.1,0.48,188,0.8,0,n
flat,4,s316:0.1_s316:0.1_ptfe:0.2,0.48,188,0.7,0,n
flat,24,s316:2_s316:0.5_fep:0.5,5,40,7.44,0,n
flat,14,s316:0.8_s316:0.4_ptfe:0.3,1.1,70,2.27,0,n
